Event no.,Year,Month,Day,Category,"County, region or country",Location,References
61,1933,10,11,1,"North Sea (England, Scotland)","Humberside, Highlands",Hickey (1997)
62,1934,1,18,1,North Sea (South East England),Southend,Hickey (1997)
63,1935,10,18-19,1,Atlantic (West Scotland),Firth of Clyde,Zong & Tooley (2003)
64,1935,2,6,2,"South East England (North Sea), South England (English Channel)","Southend, Benfleet (Essex), Cowes (Isle of Wight)",Hickey (1997); Zong & Tooley (2003)
65,1935,9,15-16,2,North Sea (England),Barton-on-Humber (North Lincolnshire),Hickey (1997); Zong & Tooley (2003)
66,1935,9,17,2,"English Channel (Solent, Dorset)","Southampton, Milford, Netley, Keyhaven, Cowes, Bournemouth",Ruocco et al. (2011)
67,1936,2,23,1,"North Sea (England, Scotland)","London, Kirkcaldy, Aberdeen",Zong & Tooley (2003)
68,1936,4,22,1,North Sea (South East England),Southend,Hickey (1997)
69,1936,6,18,1,English Channel (the Solent),Southsea (Portsmouth),Zong & Tooley (2003)
70,1936,10,18,1,North Sea (South East England),Southend,Lamb (1991); Hickey (1997)
71,1936,10,31,1,North Sea (South East England),Southend,Hickey (1997)
72,1936,11,1,1,North Sea (Thames),London,Zong & Tooley (2003)
73,1936,11,12,1,"English Channel (Dorset), Irish Sea (Isle of Man)","Isle of Portland, Chesil Beach (Dorset), Castletown (Isle of Man)",Zong & Tooley (2003)
74,1936,12,14,1,Atlantic-Irish Sea (Scotland),Ayr,Hickey (1997)
75,1936,12,18,1,Celtic Sea (Wales),Cardiff,Zong & Tooley (2003)
76,1936,1,9-10,2,"Celtic-Irish Sea, Atlantic (West Scotland)","Newport, Troon, Largs, Brodick, Rothesay, Ardrossan, Lamlash",Hickey (1997); Zong & Tooley (2003)
77,1936,3,1,2,North Sea (England),Hull,Zong & Tooley (2003)
78,1936,12,30-1,3,North Sea (England),"London, Lowestoft, Great Yarmouth, Southend, Ramsgate",Hickey (1997); Zong & Tooley (2003)
79,1937,1,16-22,1,Atlantic-North Sea (Scotland),Shetland,Hickey (1997)
80,1937,1,,1,North Sea (Scotland),Lossiemouth,Hickey (1997)
81,1937,11,20,1,North Sea (South East England),Southend,Hickey (1997)
82,1937,1,27-28,2,Irish Sea (North Wales),"Rhos-on-sea, Beaumaris",Met Office (1937);  Zong & Tooley (2003); Haigh et al. (2015)
83,1938,1,17,1,North Sea (South East England),Southend  (Essex),Hickey (1997); Zong & Tooley (2003)
84,1938,1,29,1,"Irish Sea (Wales, England), Bristol Channel","Bristol Channel, Cardigan Bay, Lancashire, Cumbria",Eden (2008)
85,1938,11,,2,Irish Sea (Scotland),"Gretna, Rockcliff Marsh, Solway Firth",Hickey (1997)
86,1938,4,3,2,North Sea (England),"Horsey, London",Zong & Tooley (2003)
87,1938,1,15,3,"Irish Sea (Wales, England), Bristol Channel","Bristol Channel, Cardigan Bay, Lancashire, Cumbria, Aberystwyth",Eden (2008)
88,1938,2,12-13,3,North Sea (England),"Yorkshire, Margate, Cromer, Maldon, London, Felixstowe, Grimsby",Met Office (1938); Lamb (1991); Hickey (1997); Zong & Tooley (2003); Eden (2008)
89,1939,1,20,1,English Channel (Dorset),Isle of Portland,Zong & Tooley (2003)
90,1939,3,9,1,Irish Sea (England),Fleetwood,Zong & Tooley (2003)
91,1942,2,13,1,English Channel (Dorset),Isle of Portland,Zong & Tooley (2003)
92,1942,12,20,1,Irish Sea (Scotland),Solway Firth,Zong & Tooley (2003)
93,1942,12,9-10,2,Irish Sea (Scotland-Solway Firth),"Solway Firth, Gretna, Annan",Hickey (1997)
94,1942,12,13,3,"English Channel (Dorset), Irish Sea (Wales, Scotland)","Isle of Portland, Aberystwyth, Solway Firth",Met Office (1942)
95,1943,1,30,1,English Channel (Sussex),Sussex,Zong & Tooley (2003)
96,1943,4,6,1,North Sea (South East England),Southend,Zong & Tooley (2003)
97,1945,9,24,1,Irish Sea (Wales),"Rhyl (Debighshire), Penmaenmawy, Llanfairfechan, Towyn (Conwy County)",Zong & Tooley (2003)
98,1945,12,21,1,English Channel (South West),"Starcross (Exe Estuary), Dawlish, Teignmouth (Devon)",Zong & Tooley (2003)
99,1945,12,24,1,English Channel (Sussex),"Seaford, Hastings",Zong & Tooley (2003)
100,1945,12,18-19,2,"English Channel (Dorset, the Solent, Sussex)","Seaford, Isle of Portland, Hayling Island (Havant)",Zong & Tooley (2003); Ruocco et al. (2011)
101,1946,12,8,2,"North Sea (England), English Channel (Sussex)","Lowestoft, Hastings, Pevensey Bay, Seaford, Eastbourne, Sandgate",Zong & Tooley (2003)
102,1947,,,1,North Sea (England),The Fens,Hickey (1997)
103,1947,1,17,1,Irish Sea (England-Solway Firth-River Eden),Carlisle,Zong & Tooley (2003)
104,1947,3,15-16,1,North Sea,-,Hickey (1997); Eden (2008)
105,1947,11,12,1,English Channel (Sussex),Seaford,Zong & Tooley (2003)
106,1947,12,13,1,English Channel (Dorset),Isle of Portland,Eden (2008)
107,1947,12,27,1,"English Channel (the Solent, Sussex, Kent)","Emsworth, Hastings,  Sandgate",Zong & Tooley (2003)
108,1947,1,,2,North Sea (Scotland),Kirkcaldy,Hickey (1997)
109,1947,4,21-23,2,Irish Sea (Scotland-Solway Firth-Rivers Annan and Nith),"Annan, Tay, Welldale (Dumfries)",Hickey (1997)
110,1948,1,29,2,English Channel (South West),"Looe, Saltash, Brixham",Zong & Tooley (2003); Haigh et al. (2015)
111,1948,8,8-11,1,"North Sea (Scotland, England), English Channel (Kent-Sussex)","Berwick, Eyemouth, Jaywick,  London, Felpham, Hastings, Folkestone, Sandgate",Zong & Tooley (2003)
112,1949,,,1,English Channel (Dorset),Chesil Beach,West (2014)
113,1949,1,8,1,"North Sea (England, Scotland)","Norfolk, Aberdeen, Dunbar",Hickey (1997)
114,1949,11,21,1,English Channel (Kent),"Folkestone, Sandgate",Zong & Tooley (2003)
115,1949,12,,1,Scotland ,-,Hickey (1997)
116,1949,10,23,2,English Channel (the Solent-Kent),"Hastings, Hythe, Folkstone, Sandgate, Southampton",Lamb (1991); Zong & Tooley (2003); Ruocco et al. (2011)
117,1949,3,1,4,"North Sea (England), Thames","London, Sheerness, Margate, Southend, Woodbridge, Boston,  Kings Lynn",Met Office (1949); Hickey (1997); Zong & Tooley (2003)
118,1950,2,3,1,"English Channel (Dorset, the Solent)","Lymington, Keyhaven, Milford, Keyhaven, Warsash, Bournemouth",Ruocco et al. (2011)
119,1950,2,6,1,English Channel (the Solent),Fawley (Hampshire),Ruocco et al. (2011)
120,1950,2,16,2,"Irish Sea-Atlantic-Firth of Clyde (West Scotland), North Sea-River Tay (East Scotland)","Aberfoyle, Perth, Helensburgh",Hickey (1997)
121,1951,12,30,1,Scotland,-,Lamb (1991)
122,1951,12,28-29,2,English Channel (Cornwall to Kent),"Southampton, Beaulieu, Shanklin, Sandown, Cornwall, Kent, St Leonards, Sussex",Lamb (1991); Zong & Tooley (2003); Ruocco et al. (2011)
123,1952,1,30,1,Celtic Sea (England),Bude (North Cornwall),Zong & Tooley (2003)
124,1952,8,10,1,English Channel (central),Seaford,Zong & Tooley (2003)
125,1953,11,1,1,English Channel (east),Sandgate (Kent),Zong & Tooley (2003)
126,1953,9,23,2,Bristol Channel,"Bristol, Pill-on-Avon",Zong & Tooley (2003); Haigh et al. (2015)
127,1953,1,31,6,"North Sea (England), Thames","Kent, Spurn Head, Humber, London",Met Office (1953); Lamb (1991); Hickey (1997); Zong & Tooley (2003); Eden (2008); Haigh et al. (2015); 
128,1954,1,3,1,"North Sea (England), Irish Sea (England), Celtic Sea (North Devon)","Wells, Alderburgh, Barmston, Bude",Hickey (1997); Zong & Tooley (2003)
129,1954,9,1,1,North Sea (Thames),Richmond on Thames (London),Zong & Tooley (2003)
130,1954,10,6-7,1,North Sea (England),-,Hickey (1997)
131,1954,11,,1,North Sea (North East England),Blyth,Northumberland County Council (2010)
132,1954,12,1,1,English Channel (Dorset),Isle of Portland,West (2014)
133,1954,12,4-5,1,North Sea (England),-,Hickey (1997)
134,1954,12,22,1,North Sea (England),Great Yarmouth,Lamb (1991); Zong & Tooley (2003)
135,1954,9,14,2,Bristol Channel,"Ashton Gate, Bristol",Zong & Tooley (2003)
136,1954,10,14,2,North Sea (North East England),Hull,Zong & Tooley (2003)
137,1954,11,30,2,"English Channel (Dorset, the Solent)","Christchurch, Lymington, Southampton",Ruocco et al. (2011)
138,1954,12,8,2,English Channel (the Solent),"Ryde, Lymington, Southampton",Ruocco et al. (2011)
139,1954,11,11,4,"North Sea (England), English Channel (the Solent)","Hull, Southend, Strood (River Medway), Southampton",Met Office (1954); Zong & Tooley (2003); Ruocco et al. (2011)
140,1954,11,26,4,English Channel (Cornwall to Kent),"Lostwithiel, Gunnilsake, Truro, Mevagissey, Perranporth, Chesil Beach, Isle of Portland, Worthing, Teignmouth, Newhaven, Seaford, Southampton, Bournemouth, Lymington, Isle of Wight",Met Office (1954); Zong & Tooley (2003); Ruocco et al. (2011)
141,1955,1,11,1,"North Sea (England), Thames","Putney, Millbank (London), Tilbury, Southend (Essex), Hull, Scarborough, Cleethorpes (Yorkshire-Humber)",Zong & Tooley (2003)
142,1955,1,14,1,Bristol Channel-Celtic Sea (North Devon),Weare Giffard (Devon),Zong & Tooley (2003)
143,1955,2,24,1,North Sea (England),"Scarborough (North Yorkshire), Cleethorpes, Sandilands (Lincolnshire)",Zong & Tooley (2003)
144,1955,3,24,1,"English Channel (Dorset, the Solent)","Christchurch, Southampton",Ruocco et al. (2011)
145,1955,10,6-7,1,North Sea (England),-,Hickey (1997)
146,1955,10,15-17,1,North Sea (England),-,Hickey (1997)
147,1955,12,8,1,North Sea (England),-,Hickey (1997)
148,1956,1,17-21,1,North Sea (England),-,Hickey (1997)
149,1956,3,2,1,North Sea (England),-,Hickey (1997)
150,1956,1,30,2,"East Scotland (North Sea, Firth of Forth)","Kirkcaldy, Wick",Hickey (1997)
151,1957,2,16,2,"Celtic Sea (England), Bristol Channel, North Sea (Scotland)","Bridgewater, Combwich, Ilfracombe, Crovie, Gardenstown",Hickey (1997); Zong & Tooley (2003)
152,1957,9,24,2,Celtic Sea (England),"Westward Ho!, Bideford, Appledore, Instow, Ilfracombe",Zong & Tooley (2003)
153,1957,12,10,2,English Channel (Cornwall-Devon-Dorset),"Starcross, Saltash, Topsham, Weymouth, Bourenmouth",Zong & Tooley (2003)
154,1958,10,15,1,North Sea (Thames),Putney (London),Zong & Tooley (2003)
155,1958,4,4,3,North Sea (Scotland),"Kirkcaldy, Edinburgh",Hickey (1997)
156,1959,10,17,2,English Channel (the Solent),"Yarmouth, Gurnard, Newport, Lymington",Ruocco et al. (2011)
157,1959,12,3,2,English Channel (the Solent),"Cowes, Hythe (Hampshire), Marchwood (Southampton)",Ruocco et al. (2011)
158,1959,12,30,2,"North Sea (England, Scotland)","Hull, Ipswich, Dundee",Zong & Tooley (2003)
159,1960,9,,1,English Channel (Cornwall),St Austell River,Cornwall Council (2011)
160,1960,10,8,1,"English Channel (South West and the Solent), Celtic Sea (Devon), ","Exmouth, Torquay (South Devon), Brendon (North Devon), Southampton",Zong & Tooley (2003)
161,1960,1,6,2,North Sea (Scotland),"Alloa, Stirling",Hickey (1997)
162,1961,3,20-21,1,North Sea (England),-,Hickey (1997); Haigh et al. (2015)
163,1961,7,4,1,North Sea (South East England),Southend,Zong & Tooley (2003)
164,1961,10,24-25,2,"English Channel (Dorset, the Solent), Atlantic West Scotland","Portsmouth (Old Portsmouth, Eastney), Fareham, Langstone, Hayling, Cowes,  Newport, Ryde,  Totton, Southampton, North Skye",Ruocco et al. (2011); Haigh et al. (2015)
165,1962,,,1,Atlantic-Celtic Sea (England),Isles of Scilly,Hickey (1997)
166,1962,1,18,1,English Channel (Dorset),Chesil Beach,West (2014)
167,1962,1,10,2,English Channel (the Solent),"Hythe, Bournemouth, Ryde",Ruocco et al. (2011)
168,1962,1,12,2,English Channel (the Solent),"Eastoke, Hayling, Lymington, Milford-on-Sea",Ruocco et al. (2011)
169,1962,3,7,4,"English Channel (Cornwall), Atlantic-Celtic Sea (England)","Penzance, Newlyn, Tolcarne Beach, Isles of Scilly",Met Office (1962); Haigh et al. (2015)
170,1963,11,1-4,2,"English Channel (the Solent, Sussex)","Havant (Hayling Island, Emsworth, Langstone), Fareham, Southampton, Warsash, Bognor",Ruocco et al. (2011)
171,1963,11,19,2,"North Sea (Thames), English Channel (Kent-Sussex)","London, Hastings, Folkstone",Zong & Tooley (2003)
172,1965,1,20,2,"North Sea (England), English Channel (Dorset)","Dymchurch, Hull, Bournemouth",Zong & Tooley (2003)
173,1966,4,11,1,North Sea (Scotland),Aberdeen,Hickey (1997)
174,1966,10,15-16,2,"English Channel (Dorset, the Solent)","Mudeford, Hythe, Southampton, Lymington",Ruocco et al. (2011)
175,1967,9,4,1,Irish Sea (England),Blackpool,Lamb (1991); Hickey (1997)
176,1967,10,4,1,English Channel (the Solent),"Hythe, Cowes, Beaulieu",Ruocco et al. (2011)
177,1967,11,,1,English Channel (South West),"Bude, Grogley (River Camel), Polmorla, Perranporth, Lostwithiel, Par",Cornwall Council (2011)
178,1967,1,,2,"Irish Sea (Scotland-Solway Firth), North Sea (Scotland-Moray Firth)","Carsethorn, Nigg Bay",Hickey (1997)
179,1967,11,2-4,2,"English Channel (the Solent, Sussex)","Bognor, Ryde, Cowes, Hayling, Fareham",Ruocco et al. (2011)
180,1967,2,27-28,4,"Irish Sea (Scotland-Solway Firth), North Sea (Scotland-Moray Firth)","Kippford, Carsethorn, Southerness, Rockcliffe, Kirkcudbright, Creetown, Carseluith, Garlieston, Isle of Whithorn, Port William, Drummore, Port Patrick; Annan, Kingholm Quay, Glencaple, Powfoot and Browhouses",Haigh et al. (2015)
181,1968,12,20-21,2,English Channel (the Solent),"Hythe, Lymington, Ryde, Cowes, Hythe, Newport, Yarmouth (Isle of Wight), Portsmouth (Eastney), Southampton, Netley, Beaulieu",Ruocco et al. (2011)
182,1969,1,17,1,English Channel (the Solent),"Southsea (Portsmouth), Hayling Island, Emsworth (Havant), Cowes, Yarmouth (Isle of Wight)",Ruocco et al. (2011)
183,1969,11,9,1,English Channel (the Solent),"Cowes, Chichester Harbour, Southampton",Ruocco et al. (2011)
184,1969,2,19,2,"English Channel (South West), North Sea (England)","Teignmouth, Dawlish, Paignton",Met Office (1969); Hickey (1997); Eden (2008)
185,1969,3,18,2,North Sea (Scotland),Kirkcaldy,Met Office (1969)
186,1969,11,12,2,English Channel (the Solent),"Fareham, Emsworth, Portchester, Cowes",Ruocco et al. (2011)
187,1969,9,28-29,4,"North Sea (England, Scotland)","Hull, Great Yarmouth, Whalsay (Shetland Islands)",Met Office (1969); Hickey (1997); Zong & Tooley (2003); Eden (2008); Haigh et al. (2015)
188,1970,,,1,North Sea (England),"Kent, Humberside",Hickey (1997)
189,1970,2,1,1,Atlantic-Irish Sea-Firth of Clyde (Scotland),"Inverkip, Greenock",Hickey (1997)
190,1971,10,19,1,English Channel (Kent),Sandgate,Zong & Tooley (2003)
191,1972,2,15,1,Irish Sea (Scotland),Isle Of Whithorn,Hickey (1997)
192,1972,2,2,2,Irish Sea (Scotland),Isle Of Whithorn,Hickey (1997)
193,1973,7,16,1,North Sea (England),"Grimsby, Cleethorpes",Zong & Tooley (2003)
194,1973,9,,1,Atlantic-Irish Sea-Firth of Clyde (Scotland),Gourock,Hickey (1997)
195,1974,11,15,1,"English Channel (Cornwall, Dorset, Sussex)","St Ives (Cornwall), Preston, Weymouth (Dorset), Cuckmere valley (East Sussex)",Zong & Tooley (2003)
196,1974,1,11,2,"Celtic Sea (Wales, Devon), Atlantic (North West Scotland)","Amroth, Pembrokeshire (South Wales), Barnstaple (North Devon), Ireland (Sligo, Waterford, Cork), Stornoway (Scotland)",Met Office (1974); Lamb (1991); Hickey (1997); Zong & Tooley (2003); Haigh et al. (2015)
197,1974,1,12,2,English Channel (the Solent),"Hayling Island, Ryde",Ruocco et al. (2011)
198,1974,2,9-11,3,"English Channel (Cornwall to Kent), Bristol Channel","Severn Valley, Dawlish, St Blazey, Millbrook, Par, Lewes, Christchurch, Folkstone, Plymouth, Portsmouth, Southampton, Cowes, Hayling",Met Office (1974); Zong & Tooley (2003); Ruocco et al. (2011); Haigh et al. (2015)
199,1975,1,30,1,Atlantic (North West Scotland),Stornoway,Hickey (1997); Haigh et al. (2015)
200,1975,3,20,1,North Sea (England),Lowestoft,Zong & Tooley (2003)
201,1975,1,28,2,English Channel (the Solent),"Langstone, Cowes, Newport, Ryde, Wallington, Portsmouth",Ruocco et al. (2011)
202,1976,9,14,1,English Channel (Cornwall),Polperro,Zong & Tooley (2003)
203,1976,10,23,1,English Channel (the Solent),Hayling Island,Ruocco et al. (2011)
204,1976,10,14-15,2,"English Channel (Devon, Dorset)","Torquay, Isle of Portland",Zong & Tooley (2003)
205,1976,1,2-3,4,"Irish Sea (England), Atlantic (North West Scotland), North Sea (North East England)","Hull, Lowestoft, Fleetwood, North Uist",Lamb (1991); Hickey (1997); Zong & Tooley (2003); Eden (2008); Haigh et al. (2015)
206,1977,11,14,1,Irish Sea (England),"Morecambe, Pilling",Zong & Tooley (2003)
207,1977,11,11-12,5,Irish Sea (England),"Fleetwood, Morecambe, Pilling, Blackpool, Lytham",Met Office (1977); Zong & Tooley (2003); Eden (2008); Haigh et al. (2015)
208,1978,,,1,"Irish Sea (Wales, England)",Lancashire,Hickey (1997)
209,1978,2,8,1,Bristol Channel,Severn at Gloucester,Zong & Tooley (2003)
210,1978,2,18-20,1,"English Channel (Devon, Dorset)",Isle of Portland,Met Office (1978)
211,1978,12,23-24,1,North Sea (Scotland),Kirkcaldy (Fife),Hickey (1997)
212,1978,2,26,2,English Channel (the Solent),"Hayling, Portsmouth",Ruocco et al. (2011)
213,1978,11,15,2,English Channel (the Solent),"Hythe, Calshot",Ruocco et al. (2011)
214,1978,12,13,4,English Channel (Dorset),Isle of Portland,Met Office (1978); Zong & Tooley (2003)
215,1978,1,10-12,5,"North Sea (England, Scotland), English Channel (the Solent)","Grampian coastline, Wells-next-the-Sea, KingÍs Lynn, Cleethorpes, Wisbech, Sandilands, Mablethorpe, Trustthorpe, Ingoldmells, Walcott, Deal, Alnmouth, Amble Harbour, Berwick-upon-Tweed, Blyth, Hayling, Cowes, Bembridge",Met Office (1978); Lamb (1991); Hickey (1997); Zong & Tooley (2003); Eden (2008); Ruocco et al. (2011); Haigh et al. (2015)
216,1979,10,,1,"Celtic Sea (North Cornwall, England)","Wadebridge, Padstow",Cornwall Council (2011)
217,1979,11,,1,"English Channel (South West), Celtic Sea (England)","Par (South Cornwall), Portreath (North Cornwall)",Cornwall Council (2011)
218,1979,12,13,1,English Channel (Dorset),Isle of Portland,Zong & Tooley (2003)
219,1979,11,,2,Irish Sea (Scotland),Carsethorn (Dumfries),Hickey (1997)
220,1979,1,4-5,4,English Channel (Devon),"Torcross, Beesands",Met Office (1979); Zong & Tooley (2003)
221,1979,2,13,4,English Channel (Dorset),Isle of Portland,Lamb (1991); Zong & Tooley (2003); Eden (2008)
222,1980,3,19,1,North Sea (England),Grimsby,Zong & Tooley (2003)
223,1980,4,20,1,North Sea (England),Felixstowe,Zong & Tooley (2003)
224,1980,10,24-25,1,"North Sea-Moray Firth (Scotland), English Channel (the Solent)","Burghead Bay, Findhorn, Wootton Bridge (Isle of Wight)",Hickey (1997); Ruocco et al. (2011)
225,1980,1,21,2,English Channel (the Solent),"Gosport, Hayling",Ruocco et al. (2011)
226,1981,3,,1,"Celtic Sea (River Camel), English Channel (River Fowey)","Sladesbridge (North Cornwall), Fowey (South Cornwall)",Cornwall Council (2011)
227,1981,3,9,1,"Celtic Sea (Wales), English Channel (Dorset)","Bridgend, Cardiff, Swanage, Bridport",Zong & Tooley (2003)
228,1981,10,,1,"English Channel (Cornwall), Irish Sea (Cornwall)","Fowey (River Fowey), Wadebridge (River Camel), Truro (Truro River)",Cornwall Council (2011)
229,1981,12,30,1,"English Channel (the Solent), Bristol Channel","Hayling Island, Cowes, Mudeford Bay, Yarmouth, Weston super Mare, Burnham on Sea, Minehead, Clevedon, Porlock, Watchet, Bridgenorth, Hythe, Sandgate",Zong & Tooley (2003)
230,1981,12,13-14,5,"English Channel (the Solent), Bristol Channel","Somerset (Burnham on Sea, Brean, Weston, Uphill, Sand Bay, Wick St Lawrence, Kingston Seamoor, Clevedon, Pawlett), Portsmouth, Hayling Island, Langstone, Fareham, Ryde, Cowes, Freshwater, Yarmouth, Southampton",Met Office (1981); Eden (2008); Ruocco et al. (2011); Haigh et al. (2015)
231,1982,6,,1,English Channel-River Camel (Cornwall),Padstow,Cornwall Council (2011)
232,1982,10,16,2,English Channel (the Solent),Hayling Island,Ruocco et al. (2011)
233,1983,12,19-20,3,"English Channel (Cornwall, the Solent)","Penzance, Fowey, Looe, Hythe, Hayling, Portsmouth, Lymington, Ryde, Cowes, Southampton",Met Office (1983); Eden (2008); Ruocco et al. (2011)
