"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","POVERTY","18_65","RT","A","2012",0.158,
"GRC","POVERTY","18_65","RT","A","2013",0.161,
"GRC","POVERTY","18_65","RT","A","2014",0.156,
"GRC","POVERTY","18_65","RT","A","2015",0.161,
"GRC","POVERTY","18_65","RT","A","2016",0.156,
"GRC","POVERTY","18_65","RT","A","2017",0.135,
"GRC","POVERTY","18_65","RT","A","2018",0.131,
"GRC","POVERTY","18_65","RT","A","2019",0.122,
"HUN","POVERTY","18_65","RT","A","2011",0.076,
"HUN","POVERTY","18_65","RT","A","2012",0.09,
"HUN","POVERTY","18_65","RT","A","2013",0.086,
"HUN","POVERTY","18_65","RT","A","2014",0.09,
"HUN","POVERTY","18_65","RT","A","2015",0.09,
"HUN","POVERTY","18_65","RT","A","2016",0.083,
"HUN","POVERTY","18_65","RT","A","2017",0.084,
"HUN","POVERTY","18_65","RT","A","2018",0.096,
"HUN","POVERTY","18_65","RT","A","2019",0.084,
"ISL","POVERTY","18_65","RT","A","2011",0.056,
"ISL","POVERTY","18_65","RT","A","2012",0.059,
"ISL","POVERTY","18_65","RT","A","2013",0.045,
"ISL","POVERTY","18_65","RT","A","2014",0.065,
"ISL","POVERTY","18_65","RT","A","2015",0.057,
"ISL","POVERTY","18_65","RT","A","2016",0.061,
"ISL","POVERTY","18_65","RT","A","2017",0.05,
"IRL","POVERTY","18_65","RT","A","2011",0.098,
"IRL","POVERTY","18_65","RT","A","2012",0.096,
"IRL","POVERTY","18_65","RT","A","2013",0.096,
"IRL","POVERTY","18_65","RT","A","2014",0.097,
"IRL","POVERTY","18_65","RT","A","2015",0.099,
"IRL","POVERTY","18_65","RT","A","2016",0.094,
"IRL","POVERTY","18_65","RT","A","2017",0.086,
"IRL","POVERTY","18_65","RT","A","2018",0.07,
"ITA","POVERTY","18_65","RT","A","2011",0.122,
"ITA","POVERTY","18_65","RT","A","2012",0.129,
"ITA","POVERTY","18_65","RT","A","2013",0.134,
"ITA","POVERTY","18_65","RT","A","2014",0.136,
"ITA","POVERTY","18_65","RT","A","2015",0.148,
"ITA","POVERTY","18_65","RT","A","2016",0.138,
"ITA","POVERTY","18_65","RT","A","2017",0.14,
"ITA","POVERTY","18_65","RT","A","2018",0.142,
"KOR","POVERTY","18_65","RT","A","2015",0.129,
"KOR","POVERTY","18_65","RT","A","2016",0.129,
"KOR","POVERTY","18_65","RT","A","2017",0.126,
"KOR","POVERTY","18_65","RT","A","2018",0.118,
"LUX","POVERTY","18_65","RT","A","2015",0.109,
"LUX","POVERTY","18_65","RT","A","2016",0.112,
"LUX","POVERTY","18_65","RT","A","2017",0.119,
"LUX","POVERTY","18_65","RT","A","2018",0.109,
"LUX","POVERTY","18_65","RT","A","2019",0.1,
"MEX","POVERTY","18_65","RT","A","2012",0.159,
"MEX","POVERTY","18_65","RT","A","2014",0.139,
"MEX","POVERTY","18_65","RT","A","2016",0.138,
"MEX","POVERTY","18_65","RT","A","2018",0.129,
"NLD","POVERTY","18_65","RT","A","2011",0.076,
"NLD","POVERTY","18_65","RT","A","2012",0.078,
"NLD","POVERTY","18_65","RT","A","2013",0.081,
"NLD","POVERTY","18_65","RT","A","2014",0.08,
"NLD","POVERTY","18_65","RT","A","2015",0.081,
"NLD","POVERTY","18_65","RT","A","2016",0.083,
"NLD","POVERTY","18_65","RT","A","2017",0.08,
"NLD","POVERTY","18_65","RT","A","2018",0.079,
"NLD","POVERTY","18_65","RT","A","2019",0.083,"P"
"NZL","POVERTY","18_65","RT","A","2011",0.083,
"NZL","POVERTY","18_65","RT","A","2012",0.091,
"NZL","POVERTY","18_65","RT","A","2014",0.097,
"NOR","POVERTY","18_65","RT","A","2011",0.093,
"NOR","POVERTY","18_65","RT","A","2012",0.097,
"NOR","POVERTY","18_65","RT","A","2013",0.09,
"NOR","POVERTY","18_65","RT","A","2014",0.093,
"NOR","POVERTY","18_65","RT","A","2015",0.093,
"NOR","POVERTY","18_65","RT","A","2016",0.093,
"NOR","POVERTY","18_65","RT","A","2017",0.095,
"NOR","POVERTY","18_65","RT","A","2018",0.096,
"NOR","POVERTY","18_65","RT","A","2019",0.096,
"POL","POVERTY","18_65","RT","A","2011",0.102,
"POL","POVERTY","18_65","RT","A","2012",0.101,
"POL","POVERTY","18_65","RT","A","2013",0.104,
"POL","POVERTY","18_65","RT","A","2014",0.104,
"POL","POVERTY","18_65","RT","A","2015",0.11,
"POL","POVERTY","18_65","RT","A","2016",0.107,
"POL","POVERTY","18_65","RT","A","2017",0.1,
"POL","POVERTY","18_65","RT","A","2018",0.097,
"PRT","POVERTY","18_65","RT","A","2011",0.111,
"PRT","POVERTY","18_65","RT","A","2012",0.129,
"PRT","POVERTY","18_65","RT","A","2013",0.133,
"PRT","POVERTY","18_65","RT","A","2014",0.133,
"PRT","POVERTY","18_65","RT","A","2015",0.123,
"PRT","POVERTY","18_65","RT","A","2016",0.126,
"PRT","POVERTY","18_65","RT","A","2017",0.105,
"PRT","POVERTY","18_65","RT","A","2018",0.103,
"PRT","POVERTY","18_65","RT","A","2019",0.098,
"SVK","POVERTY","18_65","RT","A","2011",0.075,
"SVK","POVERTY","18_65","RT","A","2012",0.075,
"SVK","POVERTY","18_65","RT","A","2013",0.08,
"SVK","POVERTY","18_65","RT","A","2014",0.082,
"SVK","POVERTY","18_65","RT","A","2015",0.077,
"SVK","POVERTY","18_65","RT","A","2016",0.078,
"SVK","POVERTY","18_65","RT","A","2017",0.066,
"SVK","POVERTY","18_65","RT","A","2018",0.071,
"SVK","POVERTY","18_65","RT","A","2019",0.069,"P"
"ESP","POVERTY","18_65","RT","A","2011",0.142,
"ESP","POVERTY","18_65","RT","A","2012",0.139,
"ESP","POVERTY","18_65","RT","A","2013",0.165,
"ESP","POVERTY","18_65","RT","A","2014",0.158,
"ESP","POVERTY","18_65","RT","A","2015",0.159,
"ESP","POVERTY","18_65","RT","A","2016",0.154,
"ESP","POVERTY","18_65","RT","A","2017",0.147,
"ESP","POVERTY","18_65","RT","A","2018",0.138,
"ESP","POVERTY","18_65","RT","A","2019",0.138,
"SWE","POVERTY","18_65","RT","A","2013",0.084,
"SWE","POVERTY","18_65","RT","A","2014",0.085,
"SWE","POVERTY","18_65","RT","A","2015",0.085,
"SWE","POVERTY","18_65","RT","A","2016",0.084,
"SWE","POVERTY","18_65","RT","A","2017",0.086,
"SWE","POVERTY","18_65","RT","A","2018",0.082,
"SWE","POVERTY","18_65","RT","A","2019",0.086,
"CHE","POVERTY","18_65","RT","A","2011",0.073,
"CHE","POVERTY","18_65","RT","A","2012",0.062,
"CHE","POVERTY","18_65","RT","A","2013",0.063,
"CHE","POVERTY","18_65","RT","A","2014",0.075,
"CHE","POVERTY","18_65","RT","A","2015",0.064,
"CHE","POVERTY","18_65","RT","A","2016",0.078,
"CHE","POVERTY","18_65","RT","A","2017",0.066,
"CHE","POVERTY","18_65","RT","A","2018",0.076,
"TUR","POVERTY","18_65","RT","A","2011",0.143,
"TUR","POVERTY","18_65","RT","A","2012",0.136,
"TUR","POVERTY","18_65","RT","A","2013",0.131,
"TUR","POVERTY","18_65","RT","A","2014",0.134,
"TUR","POVERTY","18_65","RT","A","2015",0.135,
"TUR","POVERTY","18_65","RT","A","2017",0.109,
"TUR","POVERTY","18_65","RT","A","2018",0.111,
"GBR","POVERTY","18_65","RT","A","2011",0.097,
"GBR","POVERTY","18_65","RT","A","2012",0.098,
"GBR","POVERTY","18_65","RT","A","2013",0.098,
"GBR","POVERTY","18_65","RT","A","2014",0.097,
"GBR","POVERTY","18_65","RT","A","2015",0.1,
"GBR","POVERTY","18_65","RT","A","2016",0.101,
"GBR","POVERTY","18_65","RT","A","2017",0.106,
"GBR","POVERTY","18_65","RT","A","2018",0.106,
"GBR","POVERTY","18_65","RT","A","2019",0.11,
"USA","POVERTY","18_65","RT","A","2013",0.153,
"USA","POVERTY","18_65","RT","A","2014",0.157,
"USA","POVERTY","18_65","RT","A","2015",0.148,
"USA","POVERTY","18_65","RT","A","2016",0.155,
"USA","POVERTY","18_65","RT","A","2017",0.154,
"USA","POVERTY","18_65","RT","A","2018",0.158,
"USA","POVERTY","18_65","RT","A","2019",0.157,
"EST","POVERTY","18_65","RT","A","2013",0.146,
"EST","POVERTY","18_65","RT","A","2014",0.132,
"EST","POVERTY","18_65","RT","A","2015",0.128,
"EST","POVERTY","18_65","RT","A","2016",0.119,
"EST","POVERTY","18_65","RT","A","2017",0.116,
"EST","POVERTY","18_65","RT","A","2018",0.119,
"EST","POVERTY","18_65","RT","A","2019",0.111,
"ISR","POVERTY","18_65","RT","A","2011",0.141,
"ISR","POVERTY","18_65","RT","A","2012",0.147,
"ISR","POVERTY","18_65","RT","A","2013",0.145,
"ISR","POVERTY","18_65","RT","A","2014",0.147,
"ISR","POVERTY","18_65","RT","A","2015",0.159,
"ISR","POVERTY","18_65","RT","A","2016",0.143,
"ISR","POVERTY","18_65","RT","A","2017",0.141,
"ISR","POVERTY","18_65","RT","A","2018",0.132,
"SVN","POVERTY","18_65","RT","A","2011",0.076,
"SVN","POVERTY","18_65","RT","A","2012",0.083,
"SVN","POVERTY","18_65","RT","A","2013",0.088,
"SVN","POVERTY","18_65","RT","A","2014",0.085,
"SVN","POVERTY","18_65","RT","A","2015",0.087,
"SVN","POVERTY","18_65","RT","A","2016",0.082,
"SVN","POVERTY","18_65","RT","A","2017",0.078,
"SVN","POVERTY","18_65","RT","A","2018",0.068,
"SVN","POVERTY","18_65","RT","A","2019",0.064,
"JPN","POVERTY","18_65","RT","A","2018",0.13,
"CHL","POVERTY","18_65","RT","A","2011",0.161,
"CHL","POVERTY","18_65","RT","A","2013",0.148,
"CHL","POVERTY","18_65","RT","A","2015",0.142,
"CHL","POVERTY","18_65","RT","A","2017",0.145,
"LVA","POVERTY","18_65","RT","A","2011",0.137,
"LVA","POVERTY","18_65","RT","A","2012",0.132,
"LVA","POVERTY","18_65","RT","A","2013",0.125,
"LVA","POVERTY","18_65","RT","A","2014",0.136,
"LVA","POVERTY","18_65","RT","A","2015",0.13,
"LVA","POVERTY","18_65","RT","A","2016",0.13,
"LVA","POVERTY","18_65","RT","A","2017",0.126,
"LVA","POVERTY","18_65","RT","A","2018",0.131,
"LVA","POVERTY","18_65","RT","A","2019",0.127,"P"
"LTU","POVERTY","18_65","RT","A","2011",0.124,
"LTU","POVERTY","18_65","RT","A","2012",0.135,
"LTU","POVERTY","18_65","RT","A","2013",0.118,
"LTU","POVERTY","18_65","RT","A","2014",0.139,
"LTU","POVERTY","18_65","RT","A","2015",0.147,
"LTU","POVERTY","18_65","RT","A","2016",0.142,
"LTU","POVERTY","18_65","RT","A","2017",0.138,
"LTU","POVERTY","18_65","RT","A","2018",0.124,
"LTU","POVERTY","18_65","RT","A","2019",0.116,
"CRI","POVERTY","18_65","RT","A","2011",0.169,
"CRI","POVERTY","18_65","RT","A","2012",0.177,
"CRI","POVERTY","18_65","RT","A","2013",0.174,
"CRI","POVERTY","18_65","RT","A","2014",0.178,
"CRI","POVERTY","18_65","RT","A","2015",0.171,
"CRI","POVERTY","18_65","RT","A","2016",0.175,
"CRI","POVERTY","18_65","RT","A","2017",0.167,
"CRI","POVERTY","18_65","RT","A","2018",0.172,
"CRI","POVERTY","18_65","RT","A","2019",0.164,
