NUTS level,NUTS code,Region name,Transaction code,Transaction,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Other,UK0,England,D.4,"Property income, received",2660,2783,2554,2956,2791,2768,2729,3027,3328,3365,3893,4053,3226,3175,3099,3003,3079,3459,3730,3528,3332,3690
Other,UK0,England,NA,Primary resources total,13252,13908,14468,15581,16043,16372,16881,17864,18809,19644,20917,21331,19885,20133,20297,20567,21240,22172,22979,23483,23919,25119
Other,UK0,England,D.4,"Property income, paid",589,649,610,728,684,626,642,839,954,1041,1283,1486,437,312,379,401,338,428,400,395,307,418
Other,UK0,England,NA,Primary uses total,589,649,610,728,684,626,642,839,954,1041,1283,1486,437,312,379,401,338,428,400,395,307,418
Other,UK0,England,B.5g,Balance of primary incomes,12663,13259,13858,14854,15359,15747,16239,17026,17856,18602,19635,19844,19448,19821,19918,20166,20902,21745,22579,23088,23612,24701
Other,UK0,England,D.61/D.62,Imputed social contributions/Social benefits received,2555,2604,2690,2819,2947,3091,3265,3418,3565,3781,3950,4179,4557,4742,4813,5062,5128,5111,5246,5273,5369,5438
Other,UK0,England,D.7,"Other current transfers, received",306,374,377,441,449,442,389,413,378,379,486,430,410,529,580,612,625,566,571,552,582,609
Other,UK0,England,NA,Secondary resources total,2861,2977,3067,3261,3396,3533,3654,3831,3943,4160,4436,4609,4968,5271,5394,5674,5754,5677,5816,5825,5951,6048
Other,UK0,England,D.5,"Current taxes on income, wealth etc",1618,1894,2044,2201,2326,2347,2446,2600,2786,2952,3155,3223,3076,3086,3144,3065,3154,3200,3333,3461,3616,3746
Other,UK0,England,D.61/D.62,Social contributions/Social benefits paid,2480,2568,2584,2819,2912,3060,3274,3539,3754,3957,4205,4163,3972,4335,4260,4201,4245,4430,4303,4486,4502,4599
Other,UK0,England,D.7,"Other current transfers, paid",368,446,448,517,532,542,511,552,528,529,627,591,602,748,766,752,801,749,759,759,787,794
Other,UK0,England,NA,Secondary uses total,4466,4909,5076,5538,5770,5949,6231,6690,7068,7438,7987,7977,7650,8169,8170,8018,8200,8379,8395,8706,8905,9139
Other,UK0,England,NA,Balance of secondary income,-1605,-1931,-2008,-2278,-2373,-2416,-2577,-2860,-3126,-3278,-3552,-3368,-2683,-2898,-2777,-2344,-2446,-2702,-2579,-2881,-2954,-3091
Other,UK0,England,B.6g,Gross Disposable Income,11058,11328,11850,12576,12985,13331,13663,14166,14730,15324,16083,16477,16766,16923,17141,17822,18456,19043,20000,20207,20658,21609
NUTS1,UKC,North East,B.2g,Operating surplus,1334,1377,1417,1450,1470,1465,1478,1504,1529,1562,1564,1644,1445,1413,1457,1506,1461,1541,1570,1671,1709,1769
NUTS1,UKC,North East,B.3g,Mixed income,545,533,562,622,665,730,764,782,826,873,878,887,896,925,932,937,977,1042,1063,1093,1160,1235
NUTS1,UKC,North East,D.1,Compensation of employees,6690,6924,7328,7693,8103,8340,8720,9241,9613,10160,10536,10703,10550,10840,10952,11118,11442,11682,11775,11935,12255,12774
NUTS1,UKC,North East,D.4,"Property income, received",1960,1971,1792,2169,2071,2055,2017,2301,2453,2461,2857,2899,2314,2368,2245,2087,2062,2372,2426,2364,2195,2326
NUTS1,UKC,North East,NA,Primary resources total,10528,10804,11100,11935,12308,12590,12979,13829,14422,15057,15835,16132,15205,15546,15586,15648,15942,16637,16833,17063,17319,18104
NUTS1,UKC,North East,D.4,"Property income, paid",365,405,384,461,436,401,413,543,615,716,1017,1189,332,246,330,218,226,304,257,295,199,286
NUTS1,UKC,North East,NA,Primary uses total,365,405,384,461,436,401,413,543,615,716,1017,1189,332,246,330,218,226,304,257,295,199,286
NUTS1,UKC,North East,B.5g,Balance of primary incomes,10163,10399,10716,11473,11872,12190,12567,13286,13807,14341,14818,14943,14873,15300,15256,15430,15716,16332,16576,16768,17120,17818
NUTS1,UKC,North East,D.61/D.62,Imputed social contributions/Social benefits received,2695,2752,2854,2989,3162,3241,3455,3601,3693,3897,4111,4321,4687,4902,5002,5261,5313,5293,5479,5547,5650,5695
NUTS1,UKC,North East,D.7,"Other current transfers, received",375,485,458,520,479,513,475,477,432,449,594,534,496,667,703,681,724,642,654,638,662,682
NUTS1,UKC,North East,NA,Secondary resources total,3070,3237,3313,3509,3642,3754,3930,4078,4124,4346,4705,4854,5183,5568,5704,5942,6038,5935,6133,6185,6312,6377
NUTS1,UKC,North East,D.5,"Current taxes on income, wealth etc",1292,1460,1540,1616,1692,1709,1790,1900,2029,2115,2224,2316,2195,2184,2204,2145,2172,2197,2265,2254,2293,2367
NUTS1,UKC,North East,D.61/D.62,Social contributions/Social benefits paid,2209,2246,2234,2437,2524,2647,2842,3095,3293,3503,3733,3671,3491,3874,3744,3691,3693,3892,3738,3877,3901,3960
NUTS1,UKC,North East,D.7,"Other current transfers, paid",437,557,530,597,562,614,598,617,584,601,738,698,691,889,892,825,905,830,848,850,873,873
NUTS1,UKC,North East,NA,Secondary uses total,3938,4264,4303,4649,4778,4970,5230,5612,5905,6219,6695,6685,6377,6947,6840,6661,6770,6920,6851,6981,7067,7200
NUTS1,UKC,North East,NA,Balance of secondary income,-868,-1027,-990,-1141,-1137,-1216,-1300,-1534,-1781,-1873,-1991,-1831,-1194,-1379,-1135,-720,-732,-985,-718,-797,-755,-823
NUTS1,UKC,North East,B.6g,Gross Disposable Income,9295,9372,9726,10333,10736,10973,11267,11752,12026,12468,12827,13112,13679,13921,14121,14710,14984,15347,15858,15971,16364,16995
NUTS2,UKC1,Tees Valley and Durham,B.2g,Operating surplus,1331,1358,1387,1420,1424,1383,1343,1351,1420,1490,1502,1585,1393,1363,1385,1442,1399,1480,1486,1575,1604,1652
NUTS2,UKC1,Tees Valley and Durham,B.3g,Mixed income,558,523,552,587,621,685,715,729,777,833,826,829,831,864,871,884,924,989,1005,1031,1101,1174
NUTS2,UKC1,Tees Valley and Durham,D.1,Compensation of employees,6697,6877,7329,7708,8103,8340,8662,9184,9560,10079,10376,10565,10396,10637,10725,10861,11161,11386,11510,11683,12095,12598
NUTS2,UKC1,Tees Valley and Durham,D.4,"Property income, received",1906,1900,1756,2092,2008,2019,1886,2239,2401,2359,2746,2750,2136,2282,2154,1962,1934,2257,2285,2236,2109,2256
NUTS2,UKC1,Tees Valley and Durham,NA,Primary resources total,10492,10659,11024,11806,12156,12426,12605,13502,14158,14761,15450,15729,14756,15146,15136,15149,15419,16112,16286,16525,16909,17679
NUTS2,UKC1,Tees Valley and Durham,D.4,"Property income, paid",365,400,376,451,423,378,375,487,571,682,976,1147,320,237,314,209,217,292,244,278,187,267
NUTS2,UKC1,Tees Valley and Durham,NA,Primary uses total,365,400,376,451,423,378,375,487,571,682,976,1147,320,237,314,209,217,292,244,278,187,267
NUTS2,UKC1,Tees Valley and Durham,B.5g,Balance of primary incomes,10127,10259,10648,11355,11734,12048,12230,13015,13587,14078,14473,14582,14436,14909,14822,14940,15202,15820,16042,16247,16722,17412
NUTS2,UKC1,Tees Valley and Durham,D.61/D.62,Imputed social contributions/Social benefits received,2684,2743,2859,3009,3174,3254,3462,3626,3723,3944,4145,4355,4715,4954,5039,5259,5286,5372,5554,5551,5621,5658
NUTS2,UKC1,Tees Valley and Durham,D.7,"Other current transfers, received",381,490,464,526,484,514,473,476,434,450,594,533,495,666,706,686,728,646,658,641,671,691
NUTS2,UKC1,Tees Valley and Durham,NA,Secondary resources total,3065,3233,3323,3534,3658,3768,3935,4102,4158,4394,4739,4887,5210,5620,5745,5945,6015,6018,6212,6192,6292,6349
NUTS2,UKC1,Tees Valley and Durham,D.5,"Current taxes on income, wealth etc",1296,1459,1544,1624,1694,1710,1788,1898,2017,2111,2194,2305,2196,2155,2172,2120,2146,2160,2232,2219,2263,2348
NUTS2,UKC1,Tees Valley and Durham,D.61/D.62,Social contributions/Social benefits paid,2214,2238,2251,2442,2486,2642,2729,3060,3255,3460,3669,3610,3396,3854,3675,3554,3563,3773,3654,3778,3852,3949
NUTS2,UKC1,Tees Valley and Durham,D.7,"Other current transfers, paid",443,561,534,601,566,614,595,615,584,601,736,695,688,886,894,829,907,832,850,851,879,879
NUTS2,UKC1,Tees Valley and Durham,NA,Secondary uses total,3953,4258,4329,4667,4746,4966,5113,5573,5857,6172,6599,6610,6281,6896,6741,6503,6615,6765,6735,6848,6994,7176
NUTS2,UKC1,Tees Valley and Durham,NA,Balance of secondary income,-888,-1025,-1006,-1132,-1088,-1198,-1178,-1471,-1699,-1778,-1860,-1723,-1070,-1276,-996,-558,-601,-747,-523,-656,-702,-827
NUTS2,UKC1,Tees Valley and Durham,B.6g,Gross Disposable Income,9240,9234,9642,10222,10646,10851,11052,11544,11887,12301,12613,12860,13366,13632,13827,14382,14602,15073,15519,15591,16020,16585
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,B.2g,Operating surplus,1423,1434,1481,1516,1541,1539,1519,1427,1437,1518,1578,1703,1470,1440,1491,1548,1517,1582,1595,1666,1730,1782
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,B.3g,Mixed income,492,487,563,584,613,687,724,726,768,809,837,849,833,872,883,897,946,992,991,1014,1099,1175
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.1,Compensation of employees,7157,7304,7802,8065,8443,8707,9125,9842,10293,10904,11201,11733,11474,11542,11793,11705,11700,11962,12052,12331,12783,13516
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.4,"Property income, received",1847,1795,1661,2060,1975,1915,1902,2189,2470,2365,2705,2841,2208,2466,2254,2013,1900,2297,2454,2281,2053,2313
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,NA,Primary resources total,10919,11020,11508,12224,12572,12847,13271,14184,14967,15595,16321,17127,15986,16320,16421,16163,16063,16832,17091,17293,17664,18785
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.4,"Property income, paid",390,422,401,482,457,420,424,514,578,695,1026,1232,338,251,337,224,235,312,261,294,201,287
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,NA,Primary uses total,390,422,401,482,457,420,424,514,578,695,1026,1232,338,251,337,224,235,312,261,294,201,287
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,B.5g,Balance of primary incomes,10530,10599,11107,11742,12115,12427,12847,13669,14390,14900,15295,15894,15648,16069,16084,15939,15829,16520,16829,16999,17463,18497
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.61/D.62,Imputed social contributions/Social benefits received,2549,2586,2682,2783,2871,3107,3308,3443,3559,3759,3917,4059,4350,4662,4803,5004,5050,5141,5306,5277,5381,5476
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.7,"Other current transfers, received",388,497,474,535,493,524,486,483,439,458,611,549,511,683,725,700,742,656,667,650,684,706
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,NA,Secondary resources total,2937,3083,3156,3318,3365,3632,3795,3926,3998,4217,4528,4608,4861,5345,5528,5704,5792,5797,5973,5927,6065,6181
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.5,"Current taxes on income, wealth etc",1401,1570,1655,1715,1798,1829,1909,2073,2175,2323,2424,2604,2451,2337,2417,2308,2273,2295,2347,2337,2444,2569
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.61/D.62,Social contributions/Social benefits paid,2294,2291,2324,2508,2504,2636,2879,3166,3441,3521,3652,3864,3588,4152,3894,3665,3539,3798,3856,3918,3732,3978
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,D.7,"Other current transfers, paid",447,566,542,608,573,622,605,618,586,606,750,708,701,900,909,839,916,838,854,855,887,888
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,NA,Secondary uses total,4143,4427,4522,4831,4875,5087,5394,5857,6202,6450,6826,7176,6741,7388,7220,6812,6727,6931,7057,7111,7063,7436
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,NA,Balance of secondary income,-1206,-1344,-1366,-1513,-1511,-1455,-1599,-1931,-2204,-2233,-2298,-2568,-1880,-2043,-1692,-1107,-935,-1133,-1084,-1184,-999,-1254
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,B.6g,Gross Disposable Income,9324,9255,9741,10229,10604,10972,11247,11738,12186,12667,12997,13326,13768,14026,14392,14832,14893,15387,15745,15814,16465,17243
NUTS3,UKC12,South Teesside,B.2g,Operating surplus,1312,1300,1296,1307,1320,1280,1185,1180,1266,1402,1448,1474,1348,1304,1322,1404,1351,1470,1499,1622,1612,1661
NUTS3,UKC12,South Teesside,B.3g,Mixed income,505,480,518,511,527,575,593,604,644,689,681,696,722,759,770,786,818,880,911,939,1007,1078
NUTS3,UKC12,South Teesside,D.1,Compensation of employees,6453,6287,6775,7146,7547,7647,7926,8336,8730,9285,9562,9670,9475,9712,9689,10041,10393,10860,10762,10827,11228,11193
NUTS3,UKC12,South Teesside,D.4,"Property income, received",1753,1706,1470,1794,1854,1830,1691,2054,2157,2136,2464,2383,1945,1987,1854,1703,1763,2066,1971,2000,1993,1961
NUTS3,UKC12,South Teesside,NA,Primary resources total,10023,9774,10058,10759,11249,11331,11396,12174,12798,13512,14156,14223,13490,13763,13635,13935,14325,15276,15143,15388,15840,15893
NUTS3,UKC12,South Teesside,D.4,"Property income, paid",359,382,351,416,392,350,331,425,509,642,942,1066,310,227,299,203,209,290,246,286,187,268
NUTS3,UKC12,South Teesside,NA,Primary uses total,359,382,351,416,392,350,331,425,509,642,942,1066,310,227,299,203,209,290,246,286,187,268
NUTS3,UKC12,South Teesside,B.5g,Balance of primary incomes,9664,9391,9708,10343,10857,10982,11065,11749,12289,12870,13214,13157,13180,13536,13336,13731,14116,14986,14897,15102,15652,15625
NUTS3,UKC12,South Teesside,D.61/D.62,Imputed social contributions/Social benefits received,2793,2843,2970,3163,3322,3342,3609,3825,3949,4197,4384,4615,5018,5187,5360,5651,5632,5739,5884,5824,5854,5806
NUTS3,UKC12,South Teesside,D.7,"Other current transfers, received",363,466,431,488,452,479,437,439,403,422,557,497,470,620,660,650,689,616,627,609,637,655
NUTS3,UKC12,South Teesside,NA,Secondary resources total,3156,3308,3401,3651,3773,3822,4047,4264,4352,4619,4941,5112,5488,5807,6020,6301,6321,6355,6510,6434,6491,6460
NUTS3,UKC12,South Teesside,D.5,"Current taxes on income, wealth etc",1223,1315,1403,1477,1522,1498,1577,1645,1757,1854,1930,2035,1913,1882,1862,1859,1915,1969,2013,1986,2000,2029
NUTS3,UKC12,South Teesside,D.61/D.62,Social contributions/Social benefits paid,2156,2140,2029,2198,2380,2432,2495,2893,3054,3290,3542,3329,3181,3580,3360,3301,3416,3711,3376,3515,3749,3454
NUTS3,UKC12,South Teesside,D.7,"Other current transfers, paid",422,535,499,562,532,578,557,576,551,571,697,656,660,838,845,790,864,799,814,816,841,838
NUTS3,UKC12,South Teesside,NA,Secondary uses total,3801,3990,3931,4237,4433,4508,4630,5115,5362,5715,6168,6021,5754,6299,6067,5951,6195,6480,6203,6317,6590,6321
NUTS3,UKC12,South Teesside,NA,Balance of secondary income,-645,-681,-530,-586,-660,-686,-583,-851,-1010,-1096,-1227,-909,-266,-492,-47,350,126,-124,307,117,-99,139
NUTS3,UKC12,South Teesside,B.6g,Gross Disposable Income,9019,8710,9178,9757,10198,10295,10482,10897,11278,11774,11987,12248,12914,13043,13289,14082,14243,14861,15204,15219,15553,15764
NUTS3,UKC13,Darlington,B.2g,Operating surplus,1572,1677,1675,1680,1752,1701,1656,1773,1857,1762,1732,1860,1648,1598,1676,1741,1618,1695,1755,1873,1893,1978
NUTS3,UKC13,Darlington,B.3g,Mixed income,703,620,496,618,697,759,794,827,885,920,924,950,961,978,997,1021,1047,1105,1128,1162,1195,1266
NUTS3,UKC13,Darlington,D.1,Compensation of employees,6704,6801,7217,7444,7784,8152,8488,8907,9442,9927,10396,10161,10275,10372,10180,10354,10941,11073,11405,11872,12391,12834
NUTS3,UKC13,Darlington,D.4,"Property income, received",2012,2004,1814,2344,2127,2279,2190,2288,2539,2545,3169,3048,2360,2491,2368,2463,2395,2423,2450,2469,2320,2571
NUTS3,UKC13,Darlington,NA,Primary resources total,10991,11101,11203,12086,12361,12892,13128,13795,14722,15154,16221,16019,15246,15439,15221,15580,16001,16296,16739,17376,17799,18648
NUTS3,UKC13,Darlington,D.4,"Property income, paid",430,493,453,534,520,465,463,639,746,807,1126,1346,379,278,379,252,251,335,288,331,220,319
NUTS3,UKC13,Darlington,NA,Primary uses total,430,493,453,534,520,465,463,639,746,807,1126,1346,379,278,379,252,251,335,288,331,220,319
NUTS3,UKC13,Darlington,B.5g,Balance of primary incomes,10560,10608,10750,11552,11841,12427,12665,13156,13976,14347,15095,14673,14867,15161,14842,15328,15751,15961,16451,17045,17579,18329
NUTS3,UKC13,Darlington,D.61/D.62,Imputed social contributions/Social benefits received,2631,2687,2820,3061,3523,3569,3725,3867,3860,4029,4243,4408,4803,4907,4905,5020,5166,5230,5502,5643,5664,5686
NUTS3,UKC13,Darlington,D.7,"Other current transfers, received",411,530,497,568,524,555,510,516,468,475,630,563,528,704,738,712,762,673,686,675,690,706
NUTS3,UKC13,Darlington,NA,Secondary resources total,3042,3217,3317,3629,4047,4124,4235,4383,4327,4504,4874,4972,5331,5611,5643,5733,5928,5903,6188,6318,6354,6392
NUTS3,UKC13,Darlington,D.5,"Current taxes on income, wealth etc",1237,1378,1479,1506,1609,1650,1736,1822,1996,2054,2202,2202,2117,2065,2004,1961,2012,2058,2127,2231,2321,2378
NUTS3,UKC13,Darlington,D.61/D.62,Social contributions/Social benefits paid,2286,2293,2261,2418,2242,2673,2770,2934,3265,3531,3714,3456,3441,3832,3710,3770,3851,3841,3907,3969,3987,4311
NUTS3,UKC13,Darlington,D.7,"Other current transfers, paid",473,602,568,644,606,654,631,654,616,624,771,724,719,922,923,852,937,856,875,882,896,892
NUTS3,UKC13,Darlington,NA,Secondary uses total,3996,4273,4308,4568,4458,4977,5136,5410,5877,6209,6688,6381,6276,6819,6637,6584,6801,6755,6909,7082,7204,7580
NUTS3,UKC13,Darlington,NA,Balance of secondary income,-953,-1056,-991,-939,-411,-853,-901,-1027,-1550,-1704,-1814,-1410,-946,-1208,-994,-851,-873,-852,-721,-764,-850,-1188
NUTS3,UKC13,Darlington,B.6g,Gross Disposable Income,9607,9553,9759,10613,11430,11573,11764,12129,12426,12642,13281,13263,13921,13953,13848,14477,14878,15109,15730,16281,16729,17140
NUTS3,UKC14,Durham CC,B.2g,Operating surplus,1245,1287,1331,1379,1354,1291,1270,1318,1408,1467,1442,1524,1321,1305,1301,1343,1315,1384,1365,1439,1472,1510
NUTS3,UKC14,Durham CC,B.3g,Mixed income,595,549,576,625,664,730,761,782,833,909,879,865,862,892,891,901,943,1022,1037,1063,1132,1205
NUTS3,UKC14,Durham CC,D.1,Compensation of employees,6587,6999,7408,7884,8293,8565,8852,9347,9637,10090,10359,10487,10319,10685,10800,10934,11316,11409,11626,11738,12112,12783
NUTS3,UKC14,Durham CC,D.4,"Property income, received",2005,2047,1958,2228,2091,2131,1925,2360,2471,2440,2838,2838,2154,2294,2215,1968,1949,2302,2324,2287,2158,2316
NUTS3,UKC14,Durham CC,NA,Primary resources total,10431,10881,11274,12116,12401,12717,12808,13807,14350,14906,15517,15712,14655,15176,15207,15145,15523,16117,16353,16528,16874,17814
NUTS3,UKC14,Durham CC,D.4,"Property income, paid",341,379,361,439,402,353,355,476,566,672,937,1103,304,227,295,195,204,273,224,254,172,244
NUTS3,UKC14,Durham CC,NA,Primary uses total,341,379,361,439,402,353,355,476,566,672,937,1103,304,227,295,195,204,273,224,254,172,244
NUTS3,UKC14,Durham CC,B.5g,Balance of primary incomes,10090,10503,10914,11678,11999,12364,12453,13331,13783,14234,14580,14610,14352,14949,14912,14951,15319,15844,16129,16274,16703,17569
NUTS3,UKC14,Durham CC,D.61/D.62,Imputed social contributions/Social benefits received,2704,2783,2901,3034,3189,3224,3412,3568,3662,3890,4121,4366,4737,5000,5026,5240,5258,5336,5527,5539,5622,5676
NUTS3,UKC14,Durham CC,D.7,"Other current transfers, received",383,491,470,534,491,520,479,485,442,456,598,536,493,674,713,692,735,650,664,646,677,698
NUTS3,UKC14,Durham CC,NA,Secondary resources total,3087,3274,3371,3569,3679,3743,3890,4053,4104,4346,4719,4903,5230,5674,5740,5933,5993,5986,6191,6186,6299,6374
NUTS3,UKC14,Durham CC,D.5,"Current taxes on income, wealth etc",1294,1498,1576,1680,1752,1776,1850,1956,2078,2146,2209,2306,2223,2219,2237,2188,2226,2208,2305,2274,2290,2388
NUTS3,UKC14,Durham CC,D.61/D.62,Social contributions/Social benefits paid,2189,2255,2336,2548,2584,2757,2769,3120,3262,3506,3739,3654,3396,3841,3714,3583,3595,3777,3636,3800,3944,4121
NUTS3,UKC14,Durham CC,D.7,"Other current transfers, paid",446,565,542,612,575,622,603,627,595,610,744,702,690,898,905,839,918,841,861,862,891,892
NUTS3,UKC14,Durham CC,NA,Secondary uses total,3929,4318,4454,4840,4910,5155,5222,5704,5935,6262,6692,6663,6310,6959,6856,6610,6739,6826,6803,6936,7126,7402
NUTS3,UKC14,Durham CC,NA,Balance of secondary income,-842,-1043,-1084,-1272,-1231,-1411,-1332,-1650,-1832,-1916,-1973,-1760,-1080,-1285,-1116,-677,-746,-840,-612,-750,-826,-1027
NUTS3,UKC14,Durham CC,B.6g,Gross Disposable Income,9248,9459,9830,10406,10768,10952,11121,11681,11952,12318,12607,12850,13271,13664,13796,14274,14574,15004,15517,15524,15876,16542
NUTS2,UKC2,Northumberland and Tyne and Wear,B.2g,Operating surplus,1335,1393,1442,1475,1507,1532,1589,1631,1619,1622,1615,1692,1489,1454,1516,1559,1512,1592,1639,1750,1796,1865
NUTS2,UKC2,Northumberland and Tyne and Wear,B.3g,Mixed income,534,540,571,652,701,767,805,825,866,906,920,935,949,976,983,981,1020,1086,1110,1143,1208,1285
NUTS2,UKC2,Northumberland and Tyne and Wear,D.1,Compensation of employees,6684,6962,7328,7680,8102,8340,8768,9289,9658,10228,10669,10816,10677,11008,11139,11331,11674,11927,11994,12144,12387,12920
NUTS2,UKC2,Northumberland and Tyne and Wear,D.4,"Property income, received",2003,2028,1822,2233,2123,2085,2125,2353,2496,2546,2949,3022,2461,2439,2320,2191,2168,2466,2543,2469,2267,2383
NUTS2,UKC2,Northumberland and Tyne and Wear,NA,Primary resources total,10557,10923,11162,12040,12433,12725,13287,14098,14639,15301,16153,16466,15577,15877,15958,16061,16374,17070,17285,17507,17658,18454
NUTS2,UKC2,Northumberland and Tyne and Wear,D.4,"Property income, paid",366,410,390,469,447,419,444,588,651,743,1050,1224,342,253,343,226,234,314,269,309,209,302
NUTS2,UKC2,Northumberland and Tyne and Wear,NA,Primary uses total,366,410,390,469,447,419,444,588,651,743,1050,1224,342,253,343,226,234,314,269,309,209,302
NUTS2,UKC2,Northumberland and Tyne and Wear,B.5g,Balance of primary incomes,10192,10513,10772,11571,11986,12306,12844,13509,13988,14558,15103,15241,15235,15624,15615,15835,16140,16756,17016,17198,17448,18152
NUTS2,UKC2,Northumberland and Tyne and Wear,D.61/D.62,Imputed social contributions/Social benefits received,2704,2759,2850,2972,3153,3230,3450,3580,3667,3858,4082,4293,4663,4859,4970,5262,5336,5227,5418,5544,5674,5726
NUTS2,UKC2,Northumberland and Tyne and Wear,D.7,"Other current transfers, received",369,481,454,515,475,512,477,478,430,447,594,534,496,667,700,677,721,639,650,635,654,675
NUTS2,UKC2,Northumberland and Tyne and Wear,NA,Secondary resources total,3073,3241,3305,3487,3628,3742,3927,4058,4097,4306,4676,4827,5160,5526,5671,5938,6057,5866,6068,6179,6328,6401
NUTS2,UKC2,Northumberland and Tyne and Wear,D.5,"Current taxes on income, wealth etc",1289,1461,1536,1609,1689,1708,1792,1901,2039,2118,2249,2326,2194,2208,2230,2166,2194,2228,2293,2284,2317,2382
NUTS2,UKC2,Northumberland and Tyne and Wear,D.61/D.62,Social contributions/Social benefits paid,2205,2253,2219,2433,2556,2652,2934,3124,3323,3538,3786,3722,3569,3891,3801,3804,3800,3991,3807,3958,3943,3970
